home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
95.83333333333333,69.16666666666667,4,0.8333333333333334,0.5,26.666666666666668,83.6,76.0,2,1.0,0.25,7.6,1,179.43333333333334,19.066666666666663,160,14,401827181,2025-11-25,2026,356,292
78.16666666666667,63.333333333333336,3,1.0,0.3333333333333333,14.833333333333334,87.4,68.6,3,1.0,0.0,18.8,0,165.56666666666666,-3.9666666666666757,127,-23,401826950,2025-11-25,2026,2571,3084
76.4,73.2,2,1.0,0.0,3.2,87.2,79.4,2,1.0,0.0,7.8,1,163.60000000000002,-4.599999999999994,148,-2,401829387,2025-11-25,2026,2427,2634
87.71428571428571,71.57142857142857,4,0.8,0.5,16.142857142857142,76.83333333333333,71.5,2,0.6,0.0,5.333333333333333,0,164.54761904761904,10.80952380952381,134,16,401827732,2025-11-25,2026,5,2638
82.6,76.6,3,0.6666666666666666,0.5,6.0,56.6,95.4,0,0.5,0.0,-38.8,1,139.2,44.800000000000004,133,35,401830410,2025-11-25,2026,2540,130201
79.2,80.8,2,1.0,0.0,-1.6,75.2,81.0,2,0.5,0.4,-5.8,1,154.4,4.200000000000003,159,3,401808896,2025-11-25,2026,344,2443
76.66666666666667,56.833333333333336,5,1.0,1.0,19.833333333333332,89.16666666666667,61.5,5,1.0,0.5,27.666666666666668,0,165.83333333333334,-7.833333333333336,149,-3,401824812,2025-11-25,2026,248,2633
101.2,68.4,4,1.0,0.5,32.8,93.16666666666667,79.33333333333333,3,1.0,0.0,13.833333333333334,0,194.36666666666667,18.966666666666654,133,13,401808729,2025-11-25,2026,2377,93
64.0,74.0,1,0.5,0.0,-10.0,77.14285714285714,80.14285714285714,2,0.5,0.4,-3.0,0,141.14285714285714,-7.0,141,-15,401829433,2025-11-25,2026,2247,2535
76.8,65.6,3,1.0,0.0,11.2,82.6,67.2,3,0.6666666666666666,0.5,15.4,0,159.39999999999998,-4.199999999999989,111,11,401830347,2025-11-25,2026,2000,2636
